Alcohol Notalcohol,Belted Unbelted,Bike Nonbike,Collision Type,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Day Of Week,Deer Nodeer,TOTAL CRASH,Document Nbr,FAC,First Harmful Event,FUN,Gr Nogr,Hitrun Not Hitrun,Injury Crashes,Intersection Type,Int Doc,K_CRASH,K People,Lgtruck Nonlgtruck,Light Condition,MAINLINE (group),Mainline Yn,Motor Nonmotor,Node Info,Ownership,Total People Killed & Injured,Ped Nonped,Persons Injured,VSP_Used,Rd Type,Relation To Roadway,Rns Mp,Roadway Alignment,Roadway Description,Roadway Surface Cond,Rte Nm,School Zone,Senior Notsenior,Speed Notspeed,Time Slicing,Total Crashes including Property Damage Only,Traffic Control Type,District_Used ,Weather Condition,Work Zone Related,Young Notyoung
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,12/7/2011,12/7/2011,39. Fell/Jumped From Vehicle,638,B.Visiible Injury,Chesapeake,Urban,39. Fell/Jumped From Vehicle,6AM TO 9AM,131.Chesapeake,"1,267",Intersection,Wednesday,Not DEER,1,120110022,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,120110022,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,483784.  US00460       US00460      13108622,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.24,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA131UR08622WB,3. No,SENIOR,Not SPEED,6AM TO 9AM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/1/2012,6/1/2012,20. Motor Vehicle In Transport,1111,B.Visiible Injury,Chesapeake,Urban,20. Motor Vehicle In Transport,9AM TO 12PM,131.Chesapeake,528,Intersection,Friday,Not DEER,1,121780134,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,121780134,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,484713. 13108640      13108640      13108645      13108645,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,2.10,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA131UR08640EB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,16. Other,6/1/2012,6/1/2012,22. Bicycle,2005,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,53,Intersection,Friday,Not DEER,1,121565222,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,121565222,0,0,Not LRTRUCK,3. Dusk,MAINLINE,MAIN,Not MOTORCYCLE,542019. 13408723      13408723      13408724,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.01,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR08724WB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,6/2/2012,6/2/2012,22. Bicycle,815,A.Ambulatory Injury,Virginia Beach,Urban,22. Bicycle,6AM TO 9AM,134.Virginia Beach,"5,782",Intersection,Saturday,Not DEER,1,121565155,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,121565155,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541119.  SR00279       US00060       US00060,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,292.78,3. Grade - Straight,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   US00060EB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/2/2012,6/2/2012,22. Bicycle,1011,C.Non-Visible Injury,Norfolk,Urban,22. Bicycle,9AM TO 12PM,122.Norfolk,,Not Intersection,Saturday,Not DEER,1,121800161,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA122SC99999UK,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/2/2012,6/2/2012,22. Bicycle,1745,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,3PM TO 6PM,134.Virginia Beach,37,Intersection,Saturday,Not DEER,1,121615096,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,121615096,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541839. 13408711      13408711      13408747      13408816,SEC_URBAN,2,Not PED,2,5,NOT-RD,9. Within Intersection,1.01,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08747SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/2/2012,6/2/2012,22. Bicycle,1329,A.Ambulatory Injury,Newport News,Urban,22. Bicycle,12PM TO 3PM,121.Newport News,"1,373",Intersection,Saturday,Not DEER,1,122510063,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,122510063,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,646201. 12107007      12107007      12107040      12107040,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.13,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA121UR07007NB,3. No,SENIOR,Not SPEED,12PM TO 3PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,6/4/2012,6/4/2012,22. Bicycle,1251,B.Visiible Injury,Hampton,Urban,22. Bicycle,12PM TO 3PM,114.Hampton,"1,901",Intersection,Monday,Not DEER,1,122620040,"0.Two-way, non-divided",4. Roadside,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,122620040,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253012.  US00060       US00060      11407035      11407035,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,272.28,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   US00060EB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,13. Other,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/6/2012,6/6/2012,20. Motor Vehicle In Transport,1613,B.Visiible Injury,Chesapeake,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,131.Chesapeake,248,Intersection,Wednesday,Not DEER,1,121800097,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,121800097,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483678.  SR00337       SR00337       US00460       US00460,PRI_URBAN,2,Not PED,2,5,NOT-RD,10. Intersection Related - Within 150 Feet,395.90,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   US00460EB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,6/8/2012,6/8/2012,20. Motor Vehicle In Transport,1546,A.Ambulatory Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,,Not Intersection,Friday,Not DEER,1,121615192,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08681SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/9/2012,6/9/2012,19. Ped,1053,C.Non-Visible Injury,Norfolk,Urban,19. Ped,9AM TO 12PM,122.Norfolk,16,Intersection,Saturday,Not DEER,1,122080052,"4.One-way, part of a one-way system",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,122080052,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483541.  SR00247       SR00247      12208567      12208567,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.73,1. Straight - Level,"4. One-Way, Not Divided",1. Dry,R-VA   SR00247EB,3. No,SENIOR,Not SPEED,9AM TO 12PM,1,14. Ped Crosswalk,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,3. Head On,6/10/2012,6/10/2012,19. Ped,2110,C.Non-Visible Injury,Newport News,Urban,19. Ped,9PM TO 12AM,121.Newport News,517,Intersection,Sunday,Not DEER,1,122890117,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,122890117,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,756246.  US00017       US00017       US00258W059B,PRI_URBAN,1,Not PED,1,5,RD-UNKNOWN,2. Acceleration/Deceleration Lanes,51.29,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   US00017NB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/13/2011,12/13/2011,22. Bicycle,805,C.Non-Visible Injury,Hampton,Urban,22. Bicycle,6AM TO 9AM,114.Hampton,"1,283",Intersection,Tuesday,Not DEER,1,120400591,"0.Two-way, non-divided",2. Shoulder,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,120400591,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253115.  SR00169       SR00169      11407055,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,5.85,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00169NB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,6/12/2012,6/12/2012,22. Bicycle,1222,C.Non-Visible Injury,Newport News,Urban,22. Bicycle,12PM TO 3PM,121.Newport News,"1,700",Intersection,Tuesday,Not DEER,1,122230012,"0.Two-way, non-divided",2. Shoulder,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,122230012,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,646117.  SR00143       SR00143      12100019      12100019,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,1.28,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA121UR00019NB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/12/2012,6/12/2012,22. Bicycle,1526,A.Ambulatory Injury,Poquoson,Urban,22. Bicycle,3PM TO 6PM,147.Poquoson,"3,485",Intersection,Tuesday,Not DEER,1,121675408,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,121675408,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,672323.  SR00172      14707043      14707046,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.66,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA147UR07046EB,3. No,SENIOR,Not SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,2/7/2015,2/7/2015,22. Bicycle,1145,A.Ambulatory Injury,Hampton,Urban,22. Bicycle,9AM TO 12PM,114.Hampton,26,Intersection,Saturday,Not DEER,1,150565880,"1.Divided, no control of access",2. Shoulder,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,150565880,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,50659.  IS00064E263A  US00258       US00258,PRI_URBAN,1,Not PED,1,5,NOT-RD,6. Intersection at end of Ramp,62.44,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   US00258WB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,6/13/2012,6/13/2012,20. Motor Vehicle In Transport,1754,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,26,Intersection,Wednesday,Not DEER,1,121735018,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,121735018,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,542150. 13408733      13408733      13408742,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.24,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08733SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/13/2012,6/13/2012,22. Bicycle,1300,B.Visiible Injury,Norfolk,Urban,22. Bicycle,12PM TO 3PM,122.Norfolk,26,Intersection,Wednesday,Not DEER,1,121980073,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,121980073,0,0,LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483498.  SR00194       SR00194      12208618      12208618,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.14,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA122UR08618EB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/14/2012,6/14/2012,22. Bicycle,2100,C.Non-Visible Injury,Chincoteaque,Rural,22. Bicycle,6PM TO 9PM,190.Chincoteaque,380,Intersection,Thursday,Not DEER,1,122235138,"0.Two-way, non-divided",1. On Roadway,5.Rural Minor Collector,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,122235138,0,0,Not LRTRUCK,5. Darkness - Road Not Lighted,MAINLINE,MAIN,Not MOTORCYCLE,105966. 19000002      19000002      19000003,VDOT_SEC,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.71,1. Straight - Level,"1. Two-Way, Not Divided","11. Sand, Dirt, Gravel",R-VA190UR00002NB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/14/2012,6/14/2012,22. Bicycle,1310,C.Non-Visible Injury,Norfolk,Urban,22. Bicycle,12PM TO 3PM,122.Norfolk,898,Intersection,Thursday,Not DEER,1,121990179,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,4. Four Approaches,121990179,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483812.  IS00264W012A  SR00405       SR00405       SR00405 000B,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.21,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00405SB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,16. Other,6/15/2012,6/15/2012,22. Bicycle,1906,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,,Not Intersection,Friday,Not DEER,1,121715018,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA134SC99999UK,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/15/2011,12/15/2011,22. Bicycle,1800,A.Ambulatory Injury,Norfolk,Urban,22. Bicycle,3PM TO 6PM,122.Norfolk,269,Intersection,Thursday,Not DEER,1,120170391,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,120170391,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,485140. 12208564      12208564      12208565      12208565,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.61,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA122UR08565NB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/15/2011,12/15/2011,22. Bicycle,2000,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,0,Intersection,Thursday,Not DEER,1,113515191,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,113515191,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,,Not MOTORCYCLE,541256. 13400009      13400009      13408817,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.60,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08817WB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/15/2011,12/15/2011,22. Bicycle,1827,B.Visiible Injury,Norfolk,Urban,22. Bicycle,6PM TO 9PM,122.Norfolk,21,Intersection,Thursday,Not DEER,1,120170392,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,120170392,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,485086. 12208563      12208563      12208572      12208572,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.80,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA122UR08572WB,3. No,SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/20/2012,6/20/2012,20. Motor Vehicle In Transport,2015,PDO.Property Damage Only,Hampton,Urban,20. Motor Vehicle In Transport,6PM TO 9PM,114.Hampton,,Not Intersection,Wednesday,Not DEER,1,122570028,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,0,4. Four Approaches,,0,0,Not LRTRUCK,3. Dusk,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,0,Not PED,0,5,NOT-RD,9. Within Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA114SC99999UK,3. No,Not SENIOR,SPEED,6PM TO 9PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,6/21/2012,6/21/2012,22. Bicycle,1240,B.Visiible Injury,Hampton,Urban,22. Bicycle,12PM TO 3PM,114.Hampton,375,Intersection,Thursday,Not DEER,1,122840035,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,122840035,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253117.  SR00169       SR00169      11407041,PRI_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,6.03,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00169NB,3. No,SENIOR,Not SPEED,12PM TO 3PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/22/2012,6/22/2012,22. Bicycle,1630,B.Visiible Injury,Newport News,Urban,22. Bicycle,3PM TO 6PM,121.Newport News,"1,478",Intersection,Friday,Not DEER,1,122080205,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,122080205,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,646008.  SR00152       SR00152       US00017       US00017,PRI_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,52.72,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   US00017SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,6/23/2012,6/23/2012,22. Bicycle,1107,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,9AM TO 12PM,134.Virginia Beach,116,Intersection,Saturday,Not DEER,1,122045081,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,122045081,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541940. 13408717      13408717      13408739      13408739,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.46,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA134UR08739SB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,5. Sideswipe - Opposite Direction,6/23/2012,6/23/2012,20. Motor Vehicle In Transport,1836,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,6PM TO 9PM,134.Virginia Beach,523,Intersection,Saturday,Not DEER,1,121845237,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,121845237,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541210.  SR00225       SR00225      13408681,PRI_URBAN,1,Not PED,1,5,RD-UNKNOWN,9. Within Intersection,4.42,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00225SB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/20/2011,12/20/2011,22. Bicycle,1805,C.Non-Visible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,5,Intersection,Tuesday,Not DEER,1,120125259,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,120125259,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541088.  SR00190       SR00190       US00058       US00058,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,499.09,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   US00058WB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,12/21/2011,12/21/2011,22. Bicycle,745,C.Non-Visible Injury,Norfolk,Urban,22. Bicycle,6AM TO 9AM,122.Norfolk,"1,658",Intersection,Wednesday,Not DEER,1,120180589,"0.Two-way, non-divided",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,120180589,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483419.  SR00168       SR00168       SR00247       SR00247,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,25.09,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00168NB,3. No,Not SENIOR,SPEED,6AM TO 9AM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
